,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Gender,LoanAmountApproved
1,1.0,1,0.0,4583,1508.0,360.0,1.0,0.0,0.0,366797.0
2,1.0,1,1.0,3000,0.0,360.0,1.0,1.0,0.0,242073.0
3,1.0,0,0.0,2583,2358.0,360.0,1.0,1.0,0.0,162284.0
4,0.0,1,0.0,6000,0.0,360.0,1.0,1.0,0.0,356509.0
5,1.0,1,1.0,5417,4196.0,360.0,1.0,1.0,0.0,371674.0
6,1.0,0,0.0,2333,1516.0,360.0,1.0,1.0,0.0,178195.0
8,1.0,1,0.0,4006,1526.0,360.0,1.0,1.0,0.0,346932.0
10,1.0,1,0.0,3200,700.0,360.0,1.0,1.0,0.0,250051.0
12,1.0,1,0.0,3073,8106.0,360.0,1.0,1.0,0.0,278481.0
13,0.0,1,0.0,1853,2840.0,360.0,1.0,0.0,0.0,95554.0
14,1.0,1,0.0,1299,1086.0,120.0,1.0,1.0,0.0,203034.0
15,0.0,1,0.0,4950,0.0,360.0,1.0,1.0,0.0,300890.0
17,0.0,1,0.0,3510,0.0,360.0,0.0,1.0,1.0,288762.0
18,1.0,0,0.0,4887,0.0,360.0,1.0,0.0,0.0,354767.0
20,1.0,0,0.0,7660,0.0,360.0,0.0,1.0,0.0,486595.0
21,1.0,1,0.0,5955,5625.0,360.0,1.0,1.0,0.0,436589.0
27,1.0,0,0.0,4226,1040.0,360.0,1.0,1.0,0.0,299554.0
28,0.0,0,0.0,1442,0.0,360.0,1.0,1.0,0.0,105898.0
31,0.0,1,0.0,3167,0.0,360.0,1.0,1.0,0.0,174040.0
32,0.0,1,1.0,4692,0.0,360.0,1.0,0.0,0.0,277180.0
34,0.0,1,0.0,12500,3000.0,360.0,1.0,0.0,0.0,611359.0
38,0.0,1,0.0,4166,7210.0,360.0,1.0,1.0,0.0,219118.0
40,0.0,1,0.0,3600,0.0,360.0,1.0,1.0,0.0,186465.0
41,0.0,1,0.0,1800,1213.0,360.0,1.0,1.0,0.0,38694.0
46,1.0,1,0.0,5649,0.0,360.0,1.0,1.0,0.0,383927.0
47,1.0,1,0.0,5821,0.0,360.0,1.0,1.0,0.0,363250.0
48,1.0,1,0.0,2645,3440.0,360.0,0.0,1.0,1.0,176422.0
53,1.0,1,0.0,4616,0.0,360.0,1.0,1.0,0.0,357290.0
54,1.0,1,1.0,11500,0.0,360.0,0.0,1.0,1.0,718160.0
57,1.0,1,0.0,3366,2200.0,360.0,1.0,0.0,0.0,248794.0
58,1.0,1,0.0,8080,2250.0,360.0,1.0,1.0,0.0,478816.0
59,1.0,0,0.0,3357,2859.0,360.0,1.0,1.0,0.0,269330.0
60,1.0,1,0.0,2500,3796.0,360.0,1.0,1.0,0.0,205970.0
61,1.0,1,0.0,3029,0.0,360.0,1.0,1.0,0.0,285172.0
62,1.0,0,1.0,2609,3449.0,180.0,0.0,0.0,0.0,258484.0
66,0.0,0,0.0,3200,2254.0,180.0,0.0,1.0,0.0,197793.0
67,1.0,1,0.0,10750,0.0,360.0,1.0,1.0,0.0,601015.0
68,1.0,0,1.0,7100,0.0,60.0,1.0,1.0,0.0,410127.0
70,1.0,1,0.0,3208,3066.0,360.0,1.0,1.0,0.0,250654.0
75,0.0,1,0.0,3750,0.0,480.0,1.0,1.0,0.0,222173.0
76,0.0,1,0.0,3750,4750.0,360.0,1.0,1.0,0.0,230463.0
77,1.0,1,1.0,1000,3022.0,360.0,1.0,1.0,0.0,151107.0
82,1.0,1,0.0,1378,1881.0,360.0,1.0,1.0,1.0,204325.0
84,1.0,1,0.0,3988,0.0,240.0,1.0,1.0,0.0,322467.0
88,0.0,1,0.0,8566,0.0,360.0,1.0,1.0,0.0,445686.0
92,1.0,0,0.0,3273,1820.0,360.0,1.0,1.0,0.0,254029.0
100,1.0,0,0.0,4288,3263.0,180.0,1.0,1.0,0.0,248970.0
105,1.0,1,0.0,3052,1030.0,360.0,1.0,1.0,0.0,272202.0
106,1.0,1,0.0,11417,1126.0,360.0,1.0,1.0,0.0,674205.0
108,1.0,1,0.0,3800,3600.0,360.0,0.0,1.0,0.0,297075.0
110,0.0,1,0.0,5316,0.0,360.0,1.0,1.0,0.0,311653.0
115,1.0,1,0.0,14583,0.0,180.0,1.0,0.0,0.0,834010.0
118,1.0,1,0.0,5568,2142.0,360.0,1.0,0.0,0.0,305559.0
119,0.0,1,0.0,10408,0.0,360.0,1.0,1.0,1.0,550555.0
120,1.0,1,0.0,5667,2667.0,360.0,1.0,0.0,0.0,396965.0
124,1.0,0,0.0,4300,2014.0,360.0,1.0,0.0,0.0,243084.0
128,1.0,1,1.0,10513,3850.0,180.0,0.0,1.0,0.0,578680.0
131,0.0,1,0.0,2014,1929.0,360.0,1.0,1.0,0.0,125204.0
136,1.0,1,0.0,4583,0.0,360.0,1.0,0.0,1.0,367610.0
137,1.0,1,1.0,3316,3500.0,360.0,1.0,1.0,0.0,257894.0
139,1.0,0,0.0,4200,1430.0,360.0,1.0,0.0,0.0,352380.0
140,1.0,1,0.0,5042,2083.0,360.0,1.0,0.0,0.0,360050.0
141,0.0,1,0.0,5417,0.0,360.0,1.0,1.0,0.0,228546.0
144,1.0,1,0.0,11757,0.0,180.0,1.0,1.0,0.0,702189.0
146,1.0,1,0.0,14866,0.0,360.0,1.0,1.0,1.0,809842.0
147,1.0,1,0.0,1538,1425.0,360.0,1.0,1.0,0.0,166022.0
148,0.0,1,0.0,10000,1666.0,360.0,1.0,0.0,1.0,538245.0
150,0.0,1,0.0,6277,0.0,360.0,0.0,0.0,0.0,327268.0
151,1.0,1,1.0,2577,3750.0,360.0,1.0,0.0,0.0,246185.0
152,0.0,1,0.0,9166,0.0,360.0,1.0,1.0,0.0,437519.0
153,1.0,0,0.0,2281,0.0,360.0,1.0,0.0,0.0,167003.0
154,0.0,1,0.0,3254,0.0,360.0,1.0,1.0,0.0,140247.0
157,1.0,1,0.0,9538,0.0,360.0,1.0,1.0,0.0,585742.0
161,1.0,1,0.0,7933,0.0,360.0,1.0,1.0,0.0,419343.0
163,1.0,1,0.0,4167,1447.0,360.0,1.0,0.0,0.0,297087.0
164,1.0,1,0.0,9323,0.0,180.0,1.0,1.0,0.0,626467.0
166,1.0,1,0.0,4583,0.0,360.0,1.0,0.0,1.0,341455.0
167,1.0,1,0.0,2439,3333.0,360.0,1.0,0.0,0.0,147514.0
172,1.0,0,0.0,3522,0.0,180.0,1.0,0.0,0.0,268120.0
175,1.0,1,0.0,3497,1964.0,360.0,1.0,0.0,0.0,277704.0
176,1.0,1,0.0,2045,1619.0,360.0,1.0,0.0,0.0,131020.0
179,0.0,0,0.0,2333,1451.0,480.0,0.0,1.0,0.0,123025.0
180,1.0,1,0.0,6400,7250.0,360.0,0.0,1.0,0.0,379764.0
186,1.0,1,1.0,2178,0.0,300.0,0.0,0.0,0.0,212476.0
189,1.0,1,0.0,9328,0.0,180.0,1.0,0.0,0.0,558271.0
190,0.0,0,0.0,4885,0.0,360.0,1.0,0.0,0.0,230364.0
192,1.0,0,0.0,6033,0.0,360.0,1.0,1.0,0.0,398118.0
194,0.0,1,0.0,4191,0.0,360.0,1.0,0.0,0.0,236787.0
196,0.0,1,0.0,8333,3750.0,360.0,1.0,0.0,0.0,430119.0
199,0.0,1,1.0,11000,0.0,360.0,1.0,1.0,0.0,535303.0
203,1.0,0,0.0,3500,1083.0,360.0,1.0,1.0,0.0,255211.0
206,0.0,1,0.0,3244,0.0,360.0,1.0,1.0,1.0,208152.0
207,0.0,0,0.0,3975,2531.0,360.0,1.0,0.0,0.0,168706.0
208,0.0,1,0.0,2479,0.0,360.0,1.0,1.0,0.0,142025.0
212,1.0,1,1.0,7787,0.0,360.0,1.0,1.0,0.0,480494.0
213,1.0,0,1.0,5703,0.0,360.0,1.0,0.0,0.0,326704.0
214,1.0,1,0.0,3173,3021.0,360.0,1.0,1.0,0.0,245222.0
216,1.0,1,0.0,150,1800.0,360.0,1.0,0.0,0.0,87627.0
220,1.0,1,0.0,2221,0.0,360.0,0.0,1.0,0.0,150592.0
225,1.0,1,0.0,3250,0.0,360.0,1.0,0.0,0.0,272923.0
226,1.0,0,1.0,4735,0.0,360.0,1.0,1.0,0.0,275143.0
229,0.0,1,1.0,6400,0.0,360.0,1.0,0.0,0.0,363317.0
235,1.0,1,0.0,5500,1260.0,360.0,1.0,0.0,0.0,413023.0
238,0.0,1,0.0,3812,0.0,360.0,1.0,0.0,1.0,180342.0
240,1.0,1,0.0,5819,5000.0,360.0,1.0,0.0,0.0,333233.0
241,1.0,0,0.0,2510,1983.0,180.0,1.0,1.0,0.0,166001.0
242,0.0,1,0.0,2965,5701.0,60.0,1.0,1.0,0.0,183101.0
243,1.0,1,1.0,6250,1300.0,360.0,1.0,0.0,0.0,390814.0
245,0.0,1,1.0,6050,4333.0,180.0,1.0,1.0,0.0,365479.0
246,1.0,1,0.0,9703,0.0,360.0,1.0,1.0,0.0,572314.0
247,1.0,0,0.0,6608,0.0,180.0,1.0,1.0,0.0,442525.0
249,1.0,1,0.0,1809,1868.0,360.0,1.0,1.0,0.0,144451.0
251,0.0,1,0.0,3427,0.0,360.0,1.0,1.0,1.0,219114.0
252,0.0,0,1.0,2583,2167.0,360.0,1.0,0.0,0.0,115475.0
254,0.0,1,1.0,16250,0.0,360.0,0.0,1.0,0.0,813934.0
255,0.0,1,0.0,3083,0.0,360.0,1.0,0.0,1.0,196866.0
